method,scenario,seed,parser_mode,CumulativeUtility,AverageSlateUtility,ClickRate,LeaveRate,AverageSessionLength,SlateDiversity,CategoryCoverage,InstructionUplift@1,InstructionUplift@H,OverCorrectionRegret@1,OverCorrectionRegret@H,DuringHorizonUtility,PostExpiryRecoveryUtility,PostExpirySuppressionRegret,ExpiredConstraintViolationRate,DriftRecoveryTurns,RollbackAccuracy,MemoryContaminationRate,PromotionPrecision,PromotionRecall,ScopeClassificationAccuracy,parser_scope_error,memory_update_error,policy_application_error,candidate_coverage_error,status
time_decay,temporary_fatigue,2,deterministic,14.446,1.2038333333333333,0.9166666666666666,0.0,12,0.8333333333333334,11,0.0,0.17999999999999972,0.0,0.0,3.0,2.1399999999999997,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,SMOKE_TEST_ONLY
critiquescope,temporary_fatigue,2,deterministic,21.419999999999998,1.785,1.0,0.0,12,0.8166666666666667,11,-0.3599999999999999,0.3199999999999994,0.0,0.15999999999999837,4.5,3.7199999999999998,0.1599999999999997,0.8571428571428571,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,SMOKE_TEST_ONLY
none,stable_dislike,2,deterministic,16.306,1.3588333333333333,0.9166666666666666,0.0,12,0.9333333333333333,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,SMOKE_TEST_ONLY
flat,stable_dislike,2,deterministic,16.306,1.3588333333333333,0.9166666666666666,0.0,12,0.9333333333333333,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,SMOKE_TEST_ONLY
structured,stable_dislike,2,deterministic,16.306,1.3588333333333333,0.9166666666666666,0.0,12,0.9333333333333333,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,SMOKE_TEST_ONLY
time_decay,stable_dislike,2,deterministic,16.306,1.3588333333333333,0.9166666666666666,0.0,12,0.9333333333333333,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,SMOKE_TEST_ONLY
critiquescope,stable_dislike,2,deterministic,21.24,1.77,1.0,0.0,12,0.95,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,SMOKE_TEST_ONLY
none,diversity_request,2,deterministic,13.92,1.16,1.0,0.0,12,0.8500000000000001,11,0.0,0.0,0.0,0.0,1.5,4.119999999999999,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,SMOKE_TEST_ONLY
flat,diversity_request,2,deterministic,13.92,1.16,1.0,0.0,12,0.8500000000000001,11,0.0,0.0,0.0,0.0,1.5,4.119999999999999,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,SMOKE_TEST_ONLY
structured,diversity_request,2,deterministic,13.92,1.16,1.0,0.0,12,0.8500000000000001,11,0.0,0.0,0.0,0.0,1.5,4.119999999999999,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,SMOKE_TEST_ONLY
time_decay,diversity_request,2,deterministic,16.81,1.4008333333333334,1.0,0.0,12,0.8666666666666667,11,-0.55,1.0300000000000002,-0.55,1.0300000000000002,0.95,5.7,1.580000000000001,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,SMOKE_TEST_ONLY
